grad_rate,name,carnegie_class,total_enroll,pct_admitted,n_bach,n_mast,n_doc,tuition_fees,percent_fin_aid,avg_salary,n_grad,good_grad_rate
NA,University of Arkansas for Medical Sciences,Special Focus Four-Year: Research Institutions,3240,NA,389,178,28,NA,NA,75533,206,NA
8,Arkansas Baptist College,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,497,NA,25,0,0,8760,85,44650,0,0
38,Lyon College,Baccalaureate Colleges: Arts & Sciences Focus,496,60,140,0,0,30414,100,52349,0,0
69,University of Arkansas,Doctoral Universities: Very High Research Activity,30936,79,5018,1188,246,9574,77,92078,1434,1
41,University of Arkansas at Pine Bluff,Baccalaureate Colleges: Diverse Fields,2387,69,330,57,0,8398,100,54036,57,0
38,Arkansas State University-Beebe,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,2928,NA,NA,NA,NA,2928,100,46248,NA,0
53,Arkansas State University,Doctoral Universities: High Research Activity,13190,70,1717,1744,17,7130,100,67737,1761,0
49,Arkansas Tech University,Master's Colleges & Universities: Larger Programs,9445,94,1118,213,17,7900,95,62535,230,0
39,University of Arkansas at Monticello,Master's Colleges & Universities: Medium Programs,2719,NA,310,129,0,8029,100,51497,129,0
75,Baptist Health College Little Rock,Special Focus Two-Year: Health Professions,549,86,NA,NA,NA,12598,NA,62764,NA,1
34,Black River Technical College,Associate's Colleges: High Transfer-High Traditional,1566,NA,NA,NA,NA,4118,99,43031,NA,0
50,University of Central Arkansas,Doctoral/Professional Universities,9913,91,1664,504,22,9563,100,65644,526,0
39,Central Baptist College,Baccalaureate Colleges: Diverse Fields,564,64,87,0,0,17400,93,52437,0,0
46,Cossatot Community College of the University of Arkansas,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,1278,NA,NA,NA,NA,3570,94,46556,NA,0
31,Crowley's Ridge College,Baccalaureate Colleges: Diverse Fields,201,NA,31,0,0,15250,100,52033,0,0
41,East Arkansas Community College,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,1179,NA,NA,NA,NA,2820,90,45530,NA,0
26,National Park College,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,2340,NA,NA,NA,NA,4550,92,47217,NA,0
62,University of Arkansas Community College-Batesville,Associate's Colleges: High Career & Technical-High Traditional,1008,NA,NA,NA,NA,2526,100,44740,NA,0
69,Harding University,Doctoral/Professional Universities,4805,45,765,329,11,22230,100,68542,340,1
39,Henderson State University,Master's Colleges & Universities: Medium Programs,2519,71,543,169,0,7560,98,62495,169,0
69,Hendrix College,Baccalaureate Colleges: Arts & Sciences Focus,1144,60,223,7,0,33350,100,70998,7,1
NA,Jefferson Regional School of Nursing,Special Focus Two-Year: Health Professions,69,NA,NA,NA,NA,NA,NA,58642,NA,NA
71,John Brown University,Master's Colleges & Universities: Medium Programs,2326,57,344,166,0,28924,100,63898,166,1
43,Arkansas State University Mid-South,Associate's Colleges: High Transfer-High Nontraditional,979,NA,NA,NA,NA,2746,100,39052,NA,0
42,Arkansas Northeastern College,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,1502,NA,NA,NA,NA,2458,100,45310,NA,0
32,North Arkansas College,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,1856,NA,NA,NA,NA,2472,100,47176,NA,0
65,Ouachita Baptist University,Baccalaureate Colleges: Arts & Sciences Focus,1784,72,317,32,0,30140,100,60659,32,0
36,Arkansas State University Three Rivers,Associate's Colleges: High Career & Technical-High Nontraditional,1832,NA,NA,NA,NA,3458,100,40005,NA,0
47,Ozarka College,Associate's Colleges: High Transfer-High Traditional,983,NA,NA,NA,NA,3076,91,43673,NA,0
41,University of the Ozarks,Baccalaureate Colleges: Diverse Fields,784,60,193,0,0,24950,100,61619,0,0
36,University of Arkansas Community College-Morrilton,Associate's Colleges: High Transfer-High Traditional,1888,100,NA,NA,NA,3216,100,49075,NA,0
30,Philander Smith College,Baccalaureate Colleges: Diverse Fields,769,NA,169,0,0,13014,94,48930,0,0
46,Phillips Community College of the University of Arkansas,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,1234,NA,NA,NA,NA,3020,95,46503,NA,0
24,Southeast Arkansas College,Associate's Colleges: High Transfer-High Nontraditional,898,NA,NA,NA,NA,3855,100,45525,NA,0
23,University of Arkansas-Pulaski Technical College,Associate's Colleges: High Transfer-High Traditional,4245,NA,NA,NA,NA,5820,91,45225,NA,0
42,University of Arkansas Hope-Texarkana,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,1188,NA,NA,NA,NA,3070,100,43547,NA,0
57,University of Arkansas Community College Rich Mountain,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,679,NA,NA,NA,NA,3240,95,43559,NA,0
11,Shorter College,Associate's Colleges: High Transfer-High Traditional,321,NA,NA,NA,NA,5596,95,44125,NA,0
45,Williams Baptist University,Baccalaureate Colleges: Diverse Fields,584,59,73,10,0,18570,95,51280,10,0
28,South Arkansas Community College,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,1162,NA,NA,NA,NA,2781,97,46191,NA,0
45,Southern Arkansas University Main Campus,Master's Colleges & Universities: Larger Programs,5094,64,542,394,0,9410,99,65482,394,0
63,Southern Arkansas University Tech,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,943,NA,NA,NA,NA,4420,95,41246,NA,0
42,University of Arkansas-Fort Smith,Baccalaureate Colleges: Diverse Fields,5379,NA,676,19,0,5754,100,65337,19,0
44,Academy of Art University,Master's Colleges & Universities: Larger Programs,6786,NA,679,753,0,25424,83,87038,753,0
NA,Academy of Chinese Culture and Health Sciences,Special Focus Four-Year: Other Health Professions Schools,111,NA,0,20,2,NA,NA,NA,22,NA
35,College of Alameda,Associate's Colleges: High Transfer-High Nontraditional,5673,NA,NA,NA,NA,1148,84,89922,NA,0
29,Allan Hancock College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,10329,NA,NA,NA,NA,1146,96,83197,NA,0
NA,Berkeley School of Theology,Special Focus Four-Year: Faith-Related Institutions,88,67,0,18,0,2784,NA,57026,18,NA
NA,American Film Institute Conservatory,"Special Focus Four-Year: Arts, Music & Design Schools",423,NA,0,77,0,NA,NA,91445,77,NA
64,American Career College-Los Angeles,Special Focus Two-Year: Health Professions,1969,NA,NA,NA,NA,NA,97,66687,NA,0
27,American River College,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,27422,NA,NA,NA,NA,1288,88,89825,NA,0
30,Antelope Valley Community College District,Baccalaureate/Associate's Colleges: Associate's Dominant,11840,NA,13,0,0,1124,99,85121,0,0
75,Art Center College of Design,Master's Colleges & Universities: Small Programs,2420,71,498,114,0,48044,57,73646,114,1
61,Azusa Pacific University,Doctoral Universities: High Research Activity,7169,87,1526,1154,77,41510,99,87377,1231,0
22,Bakersfield College,Baccalaureate/Associate's Colleges: Associate's Dominant,26873,NA,15,0,0,1430,95,92189,0,0
31,Barstow Community College,Associate's Colleges: High Career & Technical-High Traditional,2884,NA,NA,NA,NA,1104,90,91874,NA,0
0,Bethesda University,Baccalaureate Colleges: Diverse Fields,264,NA,26,32,0,8560,81,46800,32,0
72,Biola University,Doctoral/Professional Universities,5387,57,835,367,49,44382,100,88769,416,1
33,Bryan University,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,1767,NA,72,0,0,12125,90,45906,0,0
34,Butte College,Associate's Colleges: High Career & Technical-High Traditional,9362,NA,NA,NA,NA,1368,100,97408,NA,0
NA,California Institute of Integral Studies,Doctoral/Professional Universities,2145,NA,55,220,29,NA,NA,84388,249,NA
33,Cabrillo College,Associate's Colleges: High Transfer-High Traditional,9149,NA,NA,NA,NA,1262,82,88617,NA,0
63,California Baptist University,Master's Colleges & Universities: Larger Programs,11495,80,1914,1391,25,37018,98,91590,1416,0
72,California College of the Arts,"Special Focus Four-Year: Arts, Music & Design Schools",1501,76,333,141,0,52312,91,74714,141,1
NA,University of California-Hastings College of Law,Special Focus Four-Year: Law Schools,1193,NA,0,34,0,NA,NA,164016,34,NA
94,California Institute of Technology,Doctoral Universities: Very High Research Activity,2401,3,218,139,204,58680,71,196560,343,1
73,California Lutheran University,Master's Colleges & Universities: Larger Programs,3615,87,767,439,0,46012,100,94358,439,1
85,California Polytechnic State University-San Luis Obispo,Master's Colleges & Universities: Larger Programs,22000,30,4931,626,0,10195,57,103248,626,1
NA,Alliant International University-San Diego,Doctoral/Professional Universities,3599,0,27,575,94,13680,NA,84752,669,NA
50,California State University-Bakersfield,Master's Colleges & Universities: Larger Programs,9613,87,2348,461,6,7579,90,91538,467,0
55,California State University-Stanislaus,Master's Colleges & Universities: Larger Programs,10154,97,2504,322,9,7644,89,93582,331,0
54,California State University-San Bernardino,Doctoral Universities: High Research Activity,19803,91,3741,798,18,7213,89,94487,816,0
66,California State Polytechnic University-Pomona,Master's Colleges & Universities: Larger Programs,27503,55,6339,567,10,7439,77,103127,577,1
64,California State University-Chico,Master's Colleges & Universities: Larger Programs,14183,95,3930,294,0,7864,72,94579,294,0
46,California State University-Dominguez Hills,Master's Colleges & Universities: Larger Programs,16426,89,3732,738,0,7060,91,95703,738,0
56,California State University-Fresno,Doctoral Universities: High Research Activity,23999,95,5123,794,39,6653,89,92570,833,0
69,California State University-Fullerton,Doctoral Universities: High Research Activity,40386,67,9467,1567,37,6976,80,101452,1604,1
46,California State University-East Bay,Doctoral Universities: High Research Activity,13673,96,3844,1048,18,6995,80,101613,1066,0
73,California State University-Long Beach,Doctoral Universities: High Research Activity,38973,40,9017,1770,21,6846,80,99001,1791,1
51,California State University-Los Angeles,Master's Colleges & Universities: Larger Programs,26460,87,5231,1215,14,6785,92,98765,1229,0
56,California State University-Northridge,Master's Colleges & Universities: Larger Programs,37579,91,9179,1548,9,7043,85,99651,1557,0
54,California State University-Sacramento,Master's Colleges & Universities: Larger Programs,31818,93,7352,735,14,7392,82,94527,749,0
94,University of California-Berkeley,Doctoral Universities: Very High Research Activity,45307,11,8789,3731,836,14226,60,175852,4567,1
86,University of California-Davis,Doctoral Universities: Very High Research Activity,39679,37,8743,1340,606,14645,63,151148,1946,1
87,University of California-Irvine,Doctoral Universities: Very High Research Activity,35937,21,8681,1750,532,13775,80,158235,2282,1
92,University of California-Los Angeles,Doctoral Universities: Very High Research Activity,46430,9,9265,3530,856,13258,57,188356,4386,1
76,University of California-Riverside,Doctoral Universities: Very High Research Activity,26809,69,5678,842,331,13754,79,140862,1173,1
88,University of California-San Diego,Doctoral Universities: Very High Research Activity,42006,24,8871,1946,585,14700,61,158600,2531,1
NA,University of California-San Francisco,Special Focus Four-Year: Research Institutions,3140,NA,0,286,158,NA,NA,125272,444,NA
86,University of California-Santa Barbara,Doctoral Universities: Very High Research Activity,26420,26,6317,530,366,14417,59,168812,896,1
77,University of California-Santa Cruz,Doctoral Universities: Very High Research Activity,19478,47,4364,357,200,14070,74,146915,557,1
NA,Sofia University,Special Focus Four-Year: Other Special Focus Institutions,948,NA,1,635,4,NA,NA,54564,639,NA
0,California Christian College,Special Focus Four-Year: Faith-Related Institutions,13,100,2,0,0,10290,NA,NA,0,0
NA,Haven University,Special Focus Four-Year: Faith-Related Institutions,80,NA,1,5,0,6860,0,13500,5,NA
64,California Institute of the Arts,Master's Colleges & Universities: Medium Programs,1440,25,194,144,2,53466,59,87036,146,0
63,California State University Maritime Academy,Baccalaureate Colleges: Diverse Fields,849,96,214,18,0,7116,62,104021,18,0
NA,California Western School of Law,Special Focus Four-Year: Law Schools,623,NA,0,87,0,NA,NA,110989,87,NA
35,Canada College,Associate's Colleges: High Transfer-High Nontraditional,5388,NA,NA,NA,NA,1374,80,106050,NA,0
43,College of the Canyons,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,18075,NA,NA,NA,NA,1146,87,107152,NA,0
43,Casa Loma College-Los Angeles,Special Focus Two-Year: Health Professions,415,40,0,0,0,NA,90,58153,0,0
29,Cerritos College,Associate's Colleges: High Transfer-High Traditional,19469,NA,NA,NA,NA,1346,87,120936,NA,0
29,Cerro Coso Community College,Associate's Colleges: High Transfer-High Nontraditional,4919,NA,NA,NA,NA,1384,75,95623,NA,0
35,Chabot College,Associate's Colleges: High Transfer-High Traditional,10736,NA,NA,NA,NA,1150,80,111975,NA,0
28,Chaffey College,Associate's Colleges: High Transfer-High Traditional,19238,NA,NA,NA,NA,1184,96,100536,NA,0
84,Chapman University,Doctoral Universities: High Research Activity,10014,73,1974,603,39,58634,89,117059,642,1
NA,Charles R Drew University of Medicine and Science,Special Focus Four-Year: Other Health Professions Schools,777,80,19,290,0,14954,73,85635,290,NA
63,Concordia University-Irvine,Doctoral/Professional Universities,3744,69,438,923,24,38740,100,67536,947,0
35,San Diego Christian College,Master's Colleges & Universities: Small Programs,355,NA,103,19,0,34310,100,67099,19,0
NA,Church Divinity School of the Pacific,Special Focus Four-Year: Faith-Related Institutions,64,NA,0,15,0,NA,NA,88688,15,NA
42,Citrus College,Associate's Colleges: High Transfer-High Traditional,9975,NA,NA,NA,NA,1196,80,103772,NA,0
37,City College of San Francisco,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,16134,NA,NA,NA,NA,1168,100,106044,NA,0
NA,Claremont Graduate University,Doctoral Universities: High Research Activity,1903,NA,0,392,113,NA,NA,126438,505,NA
91,Claremont McKenna College,Baccalaureate Colleges: Arts & Sciences Focus,1389,10,329,18,0,58111,53,138001,18,1
23,Coastline Community College,Associate's Colleges: High Transfer-High Nontraditional,8077,NA,NA,NA,NA,1170,72,110194,NA,0
44,University of Silicon Valley,Baccalaureate Colleges: Diverse Fields,390,65,96,3,0,21784,88,67845,3,0
NA,Western University of Health Sciences,Special Focus Four-Year: Medical Schools & Centers,3724,NA,0,290,0,NA,NA,102503,290,NA
27,Columbia College,Associate's Colleges: High Transfer-High Traditional,2349,NA,NA,NA,NA,1270,71,93997,NA,0
48,Columbia College Hollywood,"Special Focus Four-Year: Arts, Music & Design Schools",291,NA,142,0,0,26175,91,55407,0,0
11,Compton College,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,4082,NA,NA,NA,NA,1142,91,82206,NA,0
25,Contra Costa College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,5832,NA,NA,NA,NA,1312,82,88342,NA,0
31,Cosumnes River College,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,13294,NA,NA,NA,NA,1288,90,87919,NA,0
34,Crafton Hills College,Associate's Colleges: High Transfer-High Traditional,5113,NA,NA,NA,NA,1178,54,99198,NA,0
44,Cuesta College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,9908,NA,NA,NA,NA,1338,87,101531,NA,0
32,Cuyamaca College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,8043,NA,NA,NA,NA,1340,92,62719,NA,0
34,Cypress College,Baccalaureate/Associate's Colleges: Associate's Dominant,13523,NA,3,0,0,1146,87,101237,0,0
67,De Anza College,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,16335,NA,NA,NA,NA,1562,72,95553,NA,1
100,Dell'Arte International School of Physical Theatre,"Special Focus Four-Year: Arts, Music & Design Schools",8,NA,NA,NA,NA,15400,100,NA,NA,1
27,College of the Desert,Associate's Colleges: High Transfer-High Traditional,10382,NA,NA,NA,NA,1326,86,104417,NA,0
75,Design Institute of San Diego,"Special Focus Four-Year: Arts, Music & Design Schools",101,100,26,4,0,25649,100,67500,4,1
47,Diablo Valley College,Associate's Colleges: High Transfer-High Traditional,16097,NA,NA,NA,NA,1312,70,89932,NA,0
79,Dominican University of California,Master's Colleges & Universities: Medium Programs,1877,93,393,242,0,47910,92,84769,242,1
NA,Dominican School of Philosophy & Theology,Master's Colleges & Universities: Small Programs,62,NA,0,11,0,NA,NA,44786,11,NA
30,East Los Angeles College,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,27855,NA,NA,NA,NA,1238,92,102355,NA,0
35,El Camino Community College District,Associate's Colleges: High Transfer-High Traditional,19944,NA,NA,NA,NA,1144,78,109324,NA,0
NA,Emperor's College of Traditional Oriental Medicine,Special Focus Four-Year: Other Health Professions Schools,198,NA,0,32,0,NA,NA,NA,32,NA
51,Empire College,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,78,NA,0,13,0,NA,NA,NA,13,0
